Epoch: 220/20000, Action: (4, 1), Score: -1342, Tetrominoes 34, Cleared lines: 0, Loss: 1542.4332275390625
Epoch: 221/20000, Action: (5, 0), Score: -1902, Tetrominoes 22, Cleared lines: 0, Loss: 1437.5689697265625
Epoch: 222/20000, Action: (5, 0), Score: -1552, Tetrominoes 29, Cleared lines: 0, Loss: 1375.4041748046875
Epoch: 223/20000, Action: (4, 0), Score: -1722, Tetrominoes 26, Cleared lines: 0, Loss: 1478.214111328125
Epoch: 224/20000, Action: (13, 1), Score: -1802, Tetrominoes 25, Cleared lines: 0, Loss: 1293.2545166015625
Epoch: 225/20000, Action: (2, 0), Score: -1692, Tetrominoes 27, Cleared lines: 0, Loss: 1586.2584228515625
Epoch: 226/20000, Action: (6, 0), Score: -1652, Tetrominoes 27, Cleared lines: 0, Loss: 1351.3802490234375
Epoch: 227/20000, Action: (0, 3), Score: -1782, Tetrominoes 25, Cleared lines: 0, Loss: 1506.947998046875
Epoch: 228/20000, Action: (7, 1), Score: -1722, Tetrominoes 25, Cleared lines: 0, Loss: 1593.078369140625
Epoch: 229/20000, Action: (8, 1), Score: -1882, Tetrominoes 22, Cleared lines: 0, Loss: 1717.1854248046875
Epoch: 230/20000, Action: (0, 1), Score: -2052, Tetrominoes 19, Cleared lines: 0, Loss: 2153.95068359375
Epoch: 231/20000, Action: (6, 3), Score: -2092, Tetrominoes 18, Cleared lines: 0, Loss: 1820.423828125
Epoch: 232/20000, Action: (13, 0), Score: -2072, Tetrominoes 19, Cleared lines: 0, Loss: 2066.120849609375
